0,1,2,3,4
BS-2019-0321,예인선 흥우2700호 · 예인선 삼오1호 충돌사건,충돌,50~100톤미만,예인선
BS-2019-0321,예인선 흥우2700호 · 예인선 삼오1호 충돌사건,충돌,50~100톤미만,예인선
BS-2019-0322,석유제품운반선 보장3호 운항저해사건,운항저해,100~500톤미만,유조선
BS-2019-0323,모터보트 보스호 기관손상사건,기관손상,2~3톤미만,수상레저기구
BS-2019-0325,어선 에스에스조건호 침수사건,침수,1~2톤미만,어선
BS-2019-0327,작업선 세계로호 해양오염사건,해양오염,"5,000~10,000톤미만",기타선
BS-2019-0328,일반부선 금신2001호 해양오염사건,해양오염,"500~1,000톤미만",기타선
BS-2019-0329,급유선 자유호 기관손상사건,기관손상,50~100톤미만,유조선
BS-2019-0330,모터보트 그린레저호 기관손상사건,기관손상,3~5톤미만,수상레저기구
BS-2019-0331,원양어선 신시지70 해양오염사건,해양오염,"500~1,000톤미만",어선
BS-2019-0332,석유제품운반선 보성호 추진축계손상사건,추진축계손상,100~500톤미만,유조선
BS-2019-0333,어선 제101대승호 부유물감김사건,부유물감김,20~25톤미만,어선
BS-2019-0334,일반화물선 순신86 기관손상사건,기관손상,"1,000~5,000톤미만",화물선
BS-2019-0335,원양어선 솔리드1 해양오염사건,해양오염,"500~1,000톤미만",어선
BS-2019-0336,모터보트 대성호 부유물감김사건,부유물감김,2~3톤미만,수상레저기구
BS-2019-0337,어선 제27청경호 기관손상사건,기관손상,20~25톤미만,어선
BS-2019-0342,공사작업부선 금신에스비3005호 등 3척 충돌사건,충돌,"1,000~5,000톤미만",기타선
BS-2019-0342,공사작업부선 금신에스비3005호 등 3척 충돌사건,충돌,"1,000~5,000톤미만",기타선
BS-2019-0342,공사작업부선 금신에스비3005호 등 3척 충돌사건,충돌,"1,000~5,000톤미만",기타선
BS-2019-0343,낚시어선 스피드장보고호 추진축계손상사건,추진축계손상,3~5톤미만,어선
BS-2019-0344,어선 광명호 좌초사건,좌초,5~10톤미만,어선
BS-2019-0345,낚시어선 도리스피싱호 좌초사건,좌초,3~5톤미만,어선
BS-2019-0346,어선 남홍호 추진축계손상사건,추진축계손상,1톤미만,어선
BS-2019-0347,양식장관리선 세종호 침수사건,침수,3~5톤미만,어선
BS-2019-0348,급수선 제7항운호 전복사건,전복,20~25톤미만,기타선
BS-2019-0349,어선 은성호 추진축계손상사건,추진축계손상,1~2톤미만,어선
BS-2019-0350,낚시어선 아트호 · 어선 명진호 충돌사건,충돌,5~10톤미만,어선
